ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID499343342,1A York Rd,GLEN IRIS,1390000.0,h,19/08/2017,3,2.0,1.0,303.0,79.0,-37.85678,145.05555,19850,2263.215466794836,26.666666666666668,0,2047.6666666666667,9171.0,742.3333333333334,St Roch's School,291.8320794411083,131,Korowa Anglican Girls' School,526.4472382896961,13
ID456485045,183 Wilson Bvd,RESERVOIR,680000.0,h,28/08/2016,4,1.0,2.0,561.0,59.0,-37.697,144.9989,20008,1167.952374935938,38.22222222222222,0,824.6666666666666,1890.3333333333333,159.33333333333334,William Ruthven Primary School,343.87466117797896,not ranked,William Ruthven Secondary College,343.24334080288577,435
ID565419392,128 Mitcham Rd,DONVALE,775000.0,u,23/09/2017,3,2.0,1.0,294.0,49.0,-37.79937,145.18164,19900,2265.234736346731,34.666666666666664,0,3327.0,11071.666666666666,1069.3333333333333,Donvale Primary School,701.2222899156202,162,Mullauna Secondary College,1141.5101568312339,not ranked
ID231320636,3/76 Southernhay St,RESERVOIR,668500.0,t,1/07/2017,2,2.0,1.0,138.0,5.0,-37.72487,145.00705,20011,544.5042341621568,31.2,0,885.0,1901.0,227.66666666666666,Preston Primary School,694.1757527459612,250,Preston High School,1871.258602659463,not ranked
ID270462406,3/1 Garden Ct,ELWOOD,875000.0,u,26/07/2016,2,1.0,1.0,0.0,89.0,-37.8725,144.9854,19956,787.7643454402399,17.5,1,1566.6666666666667,8895.333333333334,491.0,Yesodei HaTorah College,186.24675136065775,277,Yesodei HaTorah College,186.24675136065775,38
ID575857065,19 Hamer St,MOORABBIN,1000000.0,h,3/09/2016,3,2.0,2.0,573.0,49.0,-37.9428,145.04399999999995,19872,653.4354216245414,40.166666666666664,0,71.0,261.0,20.0,Moorabbin Primary School,397.018880050505,237,Our Lady of the Sacred Heart College,1934.061636649668,not ranked
ID779990355,7/16 Leake St,ESSENDON,510000.0,u,22/04/2017,2,2.0,1.0,0.0,14.0,-37.7465,144.91,20036,966.0709379890852,27.0,0,330.3333333333333,1855.0,82.0,St Therese's School,514.0032175555764,387,Buckley Park College,1080.0040959513449,123
ID789481558,201/61 Stawell St,RICHMOND,410000.0,u,27/06/2016,1,1.0,1.0,0.0,11.0,-37.822,145.0104,19906,667.5829878088338,11.904761904761905,1,824.6666666666666,1890.3333333333333,159.33333333333334,Trinity Catholic School,710.1599294426908,not ranked,Melbourne Girls College,350.4952995586881,not ranked
ID347876221,1/74 Parkside Av,KEILOR EAST,518500.0,t,12/08/2017,3,1.0,1.0,165.0,69.0,-37.74182,144.85498,20003,4361.596337960316,29.375,0,591.6666666666666,1189.6666666666667,177.33333333333334,St Peter's School,474.34479615671995,345,Essendon Keilor College,1317.8679243240897,460
ID644512730,54 Pentland Pde,YARRAVILLE,2450000.0,h,29/07/2017,6,3.0,2.0,1087.0,99.0,-37.81038,144.89389,19997,219.02575736358207,10.357142857142858,0,817.6666666666666,1779.6666666666667,181.0,St Augustine's School,510.13095804630694,not ranked,Gilmore College For Girls,1258.9309672160125,387
