"date","confirmed","deaths","recovered","newcase","infection_rate","recovery_rate","total_flights","commercial_flights","commercial_rate"
2020-03-12,132450,4917,68324,5775,0.0436013590033975,0.515847489618724,176583,101297,0.573650917698759
2020-03-13,146783,5414,70251,14333,0.0976475477405422,0.478604470544954,174208,100363,0.576110167156503
2020-03-14,157801,5834,72622,11018,0.0698221177305594,0.460212546181583,172383,99517,0.577301706084707
2020-03-15,169032,6475,76032,11231,0.066443040371054,0.449808320318046,169859,98288,0.578644640554813
2020-03-16,183677,7153,78086,14645,0.0797323562558186,0.425126717008662,167279,96839,0.578907095331751
2020-03-17,199391,7964,80838,15714,0.0788099763780712,0.405424517656263,164012,94822,0.578140623856791
2020-03-18,218683,8867,83321,19292,0.0882190202256234,0.381012698746588,158725,91911,0.57905811938888
2020-03-19,245633,9981,84958,26950,0.109716528316635,0.345873722179023,151899,88365,0.581735231963344
2020-03-20,275963,11460,87403,30330,0.1099060381283,0.316719995071803,145781,84416,0.579060371378986
2020-03-21,307709,13180,91670,31746,0.103168903087008,0.297911338309897,140043,80479,0.574673493141392
2020-03-22,341784,14854,97885,34075,0.0996974697469747,0.286394330922454,132709,75708,0.570481278586983
2020-03-23,384630,16797,98351,42846,0.111395366976055,0.255702883290435,123842,70288,0.567561893380275
2020-03-24,425787,19079,107992,41157,0.0966610065596178,0.25362916199884,116730,65538,0.561449498843485
2020-03-25,476680,21877,113775,50893,0.10676554501972,0.238682134765461,109608,60743,0.554184001167798
2020-03-26,539069,24893,122145,62389,0.115734720416125,0.226585093930462,104585,56296,0.538279868049912
2020-03-27,603910,28388,130921,64841,0.107368647646172,0.216788925502144,98890,51832,0.524137931034483
2020-03-28,671653,32102,139424,67743,0.100860116756718,0.207583380108479,92311,48224,0.522407947048564
2020-03-29,731267,35572,148891,59614,0.0815215236021863,0.203606890506477,86931,45042,0.518135072643821
2020-03-30,795997,39620,164337,64730,0.0813194019575451,0.206454295682019,83941,42447,0.505676606187679
2020-03-31,872495,44365,177825,76498,0.0876772932796177,0.203812056229549,80930,40332,0.498356604473001
2020-04-01,948663,49863,192918,76168,0.0802898394898926,0.203357778262671,78923,38848,0.492226600610722
2020-04-02,1030010,56101,209967,81347,0.0789769031368627,0.203849477189542,75931,37193,0.489826289657716
2020-04-03,1113203,62205,225415,83193,0.0747330001805601,0.202492267807399,73575,35892,0.48782874617737
2020-04-04,1193711,68351,245832,80508,0.0674434599329318,0.205939293514092,72441,34566,0.477160723899449
2020-04-05,1265377,73540,259672,71666,0.0566360855302412,0.205213149915006,71376,33449,0.468630912351491
2020-04-06,1338067,79481,276252,72690,0.0543246339682542,0.206456029481334,70394,32699,0.464514021081342
2020-04-07,1415186,87712,299643,77119,0.0544938969153171,0.211734005282698,69778,31885,0.456949181690504
2020-04-08,1498895,94464,328359,83709,0.0558471407270022,0.219067379636332,68944,31214,0.452744256207937
